cod_orgao,nom_orgao,sgl_orgao,cod_upce,nom_upce
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090094,"94 ""PA"" - 22 BPM/FPOLIS       "
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250060,ALMOX/60 G.P.RV COMANDO       
1523,FUNDACAO UNIVERSIDADE DO ESTADO DE SC             ,UDESC,15230003,ALMOXARIFADO DO CEART         
7401,05 SEC.DE EST.DO DES.REG.-XANXERE                 ,05 SDR,74010001,SDR 5-XANXERE                 
2601,"SEC.DE EST.DA ASS.SOC,TRAB.E HABITACAO            ",SST,26010002,ALMOX. CENTRAL - S D M        
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250069,ALMOX/69 G.P.RV L. REGIS      
9201,23 SEC.DE EST.DO DES.REG.-JOINVILLE               ,23 SDR,92010001,SDR 23-JOINVILLE              
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040027,"27 ""PL"" -  GENEROS ALIM/FPOLIS"
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090021,"21 ""PA"" - 11 BPM/S.M.D'OESTE  "
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150049,QG- PBM SAO MIGUEL D`OESTE    
