cod_orgao,nom_orgao,sgl_orgao,cod_upce,nom_upce
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150101,QG - GBM CAMPO ALEGRE         
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040060,"60 ""PL"" - BPMRV/FPOLIS        "
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040058,"58 ""PL"" -  CCB/FPOLIS         "
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040042,"42 ""PL"" -  4/2 BPM/XANXERE    "
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150033,QG- CBM ARARANGUA             
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040074,8º GRUP POL RODOVI�RIA - PL   
1523,FUNDACAO UNIVERSIDADE DO ESTADO DE SC             ,UDESC,15230008,ALMOXARIFADO CEAD/UDESC       
8401,15 SEC.DE EST.DO DES.REG.-BLUMENAU                ,15 SDR,84010001,SDR 15-BLUMENAU               
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090087,"""PA"" - 3ª/12º BPM - TIJUCAS   "
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150092,QG- PBM BARRA VELHA           
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090130,"130-""PA"" COL MILITAR BLUMENAU "
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090017,"17 ""PA"" - 9 BPM/CRICIUMA      "
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150044,QG- CBM CHAPECO               
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040032,"32 ""PL"" -  2/4/2 BBM/P.UNIAO  "
2301,SECRETARIA DE ESTADO DA INFRAESTRUTURA            ,SIE,23010011,SETORIAL DE BOM RETIRO        
1821,SUP. DESENV. REGIAO MET. DA GRANDE FLORIANOPOLIS  ,SUDERF,18210001,ALMOXARIFADO GERAL-SUDERF     
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040043,"43 ""PL"" -  6/2/3 BBM/RIO NEGRI"
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150103,QG- OBM SAO DOMINGOS          
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090111,"111-""PA"" -BPMA/2 CIA-JOINVILLE"
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090056,"56 ""PA"" -  7 BPM/FOLIS        "
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090098,""" PA "" - 1ª/15º BPM - VIDEIRA "
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040021,"21 ""PL"" -  11 BPM/S.M.D'OESTE "
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090131,"131-""PA"" 12 RPM-JARAGUA DO SUL"
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150070,QG- GBM MATOS COSTA           
9901,21 SEC.DE EST.DO DES.REG.-CRICIUMA                ,21 SDR,99010001,SDR 21-CRICIUMA               
5602,SJC - FUNDO PENITENCIARIO DO ESTADO DE SC.        ,FUPESC,56020011,FUPESC-PRESIDIO TUBARAO       
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040022,"22 ""PL"" -  2/11/D.CERQUEIRA   "
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090122,"122 - ""PA"" - 2 RPM - LAGES    "
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150030,QG- GBM CAPINZAL              
1823,SC PARCERIAS S.A                                  ,MU,18230001,SC PARCERIAS                  
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040031,"31 ""PL"" -  4/2 BBM/CANOINHAS  "
1521,FUNDACAO CAT.DE EDUC.ESPECIAL                     ,FCEE,15210001,ALMOXARIFADO GERAL - FCEE     
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040105,22º GRUP POL RODOVIÁRIA - PL  
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150066,QG- GBM URUBICI               
5602,SJC - FUNDO PENITENCIARIO DO ESTADO DE SC.        ,FUPESC,56020010,FUPESC-PRESIDIO LAGUNA        
1685,FUNDO DE MELHORIAS DO CORPO DE BOMBEIROS          ,FMCBM,16850019,LF- GBM FORQUILHINHA          
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040095,"95 ""PL"" - 21 BPM/FPOLIS       "
5602,SJC - FUNDO PENITENCIARIO DO ESTADO DE SC.        ,FUPESC,56020008,FUPESC-PRESIDIO JOINVILLE     
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150091,QG- GBM BOMBINHAS             
